price,event_date,product_content_id,sold_count,visit_count,favored_count,basket_count,category_sold,category_brand_sold,category_visits
,13/04/2021,73318567,0,152,6,0,905,36190,1139
83.27881356,12/04/2021,85004,59,3813,573,507,490,35392,4755
69.36696049,12/04/2021,4066298,329,5594,324,1333,2108,4696,3772
111.0288199,12/04/2021,6676673,805,24117,1170,2543,1203,17114,4769
284,12/04/2021,7061886,13,1606,156,77,97,5423,670
60.01998137,12/04/2021,31515569,235,16782,1192,1706,756,66202,8280
59.99,12/04/2021,32737302,21,1583,183,135,868,25200,1136
140.0211765,12/04/2021,32939029,187,6998,718,818,884,3862,932
,12/04/2021,48740784,0,0,0,0,52,48229,3477
,12/04/2021,73318567,0,160,6,0,868,25200,1136
78.25504348,11/04/2021,85004,115,4859,927,702,876,51393,7283
65.03236395,11/04/2021,4066298,588,6927,408,1684,2270,5082,4292
113.811502,11/04/2021,6676673,739,28544,1565,2754,1271,21040,5172
284,11/04/2021,7061886,27,2464,276,135,149,8987,928
59.0909657,11/04/2021,31515569,565,25996,1830,2880,1582,93084,12086
59.99,11/04/2021,32737302,29,2120,240,151,1037,32416,1407
137.6216117,11/04/2021,32939029,273,7664,870,900,1121,5379,1181
,11/04/2021,48740784,0,3,0,0,53,67750,4998
,11/04/2021,73318567,0,255,11,0,1037,32416,1407
77.78123457,10/04/2021,85004,81,4057,634,584,774,48760,6414
65.08637066,10/04/2021,4066298,518,6406,401,1710,1919,4615,3696
110.8050042,10/04/2021,6676673,1179,68378,4736,6136,1860,34210,6110
284,10/04/2021,7061886,29,2229,203,112,152,6863,807
59.06419335,10/04/2021,31515569,508,27671,1577,3259,1434,80530,10711
59.99,10/04/2021,32737302,26,1927,200,134,935,26917,1292
137.9660606,10/04/2021,32939029,165,6624,671,717,939,4182,982
,10/04/2021,48740784,0,2,0,0,52,68858,5226
,10/04/2021,73318567,0,190,9,4,935,26917,1292
77.78265306,09/04/2021,85004,98,3781,584,545,632,41134,5211
65.23728538,09/04/2021,4066298,431,5240,293,1455,1777,3976,3139
111.0215962,09/04/2021,6676673,733,35404,2162,3275,1308,21881,5047
280.2631579,09/04/2021,7061886,19,2224,276,117,111,6896,655
58.99,09/04/2021,31515569,492,20374,1284,2747,1246,60014,9010
59.99,09/04/2021,32737302,12,1384,133,109,863,20568,1036
138.0890323,09/04/2021,32939029,186,5693,474,755,928,3513,970
,09/04/2021,48740784,0,2,0,0,52,53692,4441
,09/04/2021,73318567,0,172,5,0,863,20568,1036
77.81048077,08/04/2021,85004,104,4620,696,583,756,41646,6655
64.99,08/04/2021,4066298,710,9174,530,2090,2577,5169,4461
117.3993511,08/04/2021,6676673,940,65474,4268,5068,1715,29988,6025
278.2,08/04/2021,7061886,15,1806,150,76,137,5532,831
58.99,08/04/2021,31515569,565,21633,1418,2307,1657,66100,10268
59.99,08/04/2021,32737302,18,1405,141,100,1021,20483,1208
139.5582456,08/04/2021,32939029,285,7811,564,1186,1265,3898,1327
,08/04/2021,48740784,0,0,0,0,57,56020,5137
,08/04/2021,73318567,0,240,11,2,1021,20483,1208
77.53292683,07/04/2021,85004,205,5990,886,885,1115,64250,10250
65.01819738,07/04/2021,4066298,993,13124,760,2742,3587,7845,5974
114.4005188,07/04/2021,6676673,771,24996,1603,2432,1491,21847,6282
278.5555556,07/04/2021,7061886,27,1650,118,86,182,6713,978
59.03361415,07/04/2021,31515569,871,29548,1929,3235,2475,77162,14542
59.99,07/04/2021,32737302,31,1934,217,127,1361,22420,1634
138.9249351,07/04/2021,32939029,385,10291,1086,1529,1766,6101,1837
,07/04/2021,48740784,0,3,0,0,50,56403,5814
,07/04/2021,73318567,0,267,14,0,1361,22420,1634
77.82260606,06/04/2021,85004,165,6377,1077,871,952,68792,9392
64.99,06/04/2021,4066298,1186,17345,1244,3792,4058,10101,6704
119.7613714,06/04/2021,6676673,700,27746,2452,2327,1367,25652,6442
279,06/04/2021,7061886,30,1821,175,114,202,7906,1050
58.99,06/04/2021,31515569,850,41235,3157,4599,2339,79813,13529
59.99,06/04/2021,32737302,26,2171,251,144,1396,24746,1623
134.8566572,06/04/2021,32939029,353,15056,2119,2064,1866,10600,1921
,06/04/2021,48740784,0,1,0,0,79,65649,6159
,06/04/2021,73318567,0,283,13,0,1396,24746,1623
78.72148936,05/04/2021,85004,141,6140,1172,799,936,56879,8302
64.99,05/04/2021,4066298,1701,24495,2286,6408,5182,13124,8073
117.1128205,05/04/2021,6676673,702,32242,1911,2977,1391,29018,6722
278.3684211,05/04/2021,7061886,38,2315,191,136,232,8441,1151
59.1290211,05/04/2021,31515569,926,57284,3758,5883,2497,76206,13431
59.99,05/04/2021,32737302,33,2629,252,204,1533,26686,1765
136.318,05/04/2021,32939029,310,15589,2696,2249,1768,8913,1820
,05/04/2021,48740784,0,2,0,0,87,81981,7025
,05/04/2021,73318567,0,361,23,0,1533,26686,1765
78.47714286,04/04/2021,85004,98,5240,894,716,802,51751,6170
66.05314433,04/04/2021,4066298,776,10374,714,2818,2557,6729,4476
122.2228947,04/04/2021,6676673,342,30454,2136,2079,864,30824,4867
278.8,04/04/2021,7061886,30,2955,330,172,161,8770,882
59.30919825,04/04/2021,31515569,597,37345,2544,4531,1641,87293,11321
59.99,04/04/2021,32737302,43,2623,241,220,1601,32050,1895
137.3306931,04/04/2021,32939029,303,12915,1920,1712,1271,7840,1320
,04/04/2021,48740784,0,4,0,0,68,81685,6029
,04/04/2021,73318567,0,424,28,0,1601,32050,1895
80.57847619,03/04/2021,85004,105,5936,2254,646,518,37283,3764
70.04357143,03/04/2021,4066298,280,3658,240,707,1302,4027,2670
117.0415544,03/04/2021,6676673,193,16374,741,1429,695,17415,4149
279,03/04/2021,7061886,25,2018,178,117,113,5901,643
59.99,03/04/2021,31515569,411,24123,1530,2263,1294,75432,9373
59.99,03/04/2021,32737302,13,1767,196,109,1043,26279,1362
141.561716,03/04/2021,32939029,169,6480,747,812,693,3770,722
,03/04/2021,48740784,0,1,0,0,53,77048,5005
,03/04/2021,73318567,0,320,24,6,1043,26279,1362
79.86365591,02/04/2021,85004,93,5107,1730,583,453,29986,3205
69.99,02/04/2021,4066298,257,3453,233,646,1134,3737,2365
121.2864344,02/04/2021,6676673,244,13753,703,1124,780,17645,4274
279,02/04/2021,7061886,34,1696,187,124,94,5162,532
59.99,02/04/2021,31515569,388,20453,1321,2163,1137,71148,11322
59.99,02/04/2021,32737302,22,1200,108,76,868,22177,1739
142.5106667,02/04/2021,32939029,135,4747,529,547,613,2818,648
,02/04/2021,48740784,0,3,0,0,45,98258,6792
,02/04/2021,73318567,0,227,8,0,868,22177,1739
80.85951613,01/04/2021,85004,62,3496,519,438,527,34055,3354
69.99,01/04/2021,4066298,327,4533,334,932,1351,5002,2762
127.7114375,01/04/2021,6676673,160,8790,460,671,775,20825,4496
279,01/04/2021,7061886,22,1456,116,103,91,6411,589
59.99,01/04/2021,31515569,456,23071,1448,2451,1254,67916,8363
59.99,01/04/2021,32737302,16,1331,153,111,951,18215,1127
143.9802643,01/04/2021,32939029,227,7281,929,915,829,3241,869
,01/04/2021,48740784,0,2,0,0,41,70157,5244
,01/04/2021,73318567,0,222,16,0,951,18215,1127
80.66842105,31/03/2021,85004,57,3414,917,421,529,36336,3926
69.98707317,31/03/2021,4066298,410,4761,351,1233,1656,4286,3281
126.4463068,31/03/2021,6676673,176,9548,621,655,865,19942,4609
279,31/03/2021,7061886,25,1389,118,100,107,5682,571
60.0596302,31/03/2021,31515569,492,27693,2433,2841,1346,70302,8298
59.99,31/03/2021,32737302,20,1516,141,126,1089,25083,1245
149.3584472,31/03/2021,32939029,322,8766,872,1581,899,3537,946
,31/03/2021,48740784,0,1,0,0,39,77189,5123
,31/03/2021,73318567,0,263,17,0,1089,25083,1245
80.66355932,30/03/2021,85004,59,3742,1337,461,543,34843,3734
70.00789286,30/03/2021,4066298,280,4027,257,828,1248,4650,2737
120.7752299,30/03/2021,6676673,174,9418,610,689,810,18499,4272
279,30/03/2021,7061886,38,2594,362,159,126,11060,636
59.99,30/03/2021,31515569,395,24494,2180,2521,1071,62316,7671
59.99,30/03/2021,32737302,17,1691,164,116,856,21323,997
142.5144172,30/03/2021,32939029,163,5828,789,772,741,4709,777
,30/03/2021,48740784,0,2,0,0,32,72236,5104
59.99,30/03/2021,73318567,1,313,34,2,856,21323,997
80.60925926,29/03/2021,85004,54,2865,574,366,557,31041,3454
69.71278846,29/03/2021,4066298,312,4278,352,966,1380,4287,2758
125.5318994,29/03/2021,6676673,179,10470,576,808,813,20012,4477
281.625,29/03/2021,7061886,16,1307,126,87,92,5825,579
59.99,29/03/2021,31515569,248,18979,1610,1568,795,61187,7276
59.99,29/03/2021,32737302,18,1977,262,107,735,26063,884
140.9394444,29/03/2021,32939029,162,6338,748,724,767,4997,803
,29/03/2021,48740784,0,4,0,0,40,76108,4878
,29/03/2021,73318567,0,266,16,2,735,26063,884
80.2255814,28/03/2021,85004,43,3287,958,449,546,42407,3903
68,28/03/2021,4066298,372,4695,430,1164,1735,4158,2989
124.0673381,28/03/2021,6676673,139,7638,490,616,775,20178,4134
285,28/03/2021,7061886,23,2041,254,117,129,7085,583
59.99,28/03/2021,31515569,537,31121,2255,4140,1349,82031,8528
59.99,28/03/2021,32737302,33,3325,420,188,1155,33941,1371
136.6452941,28/03/2021,32939029,221,6408,674,876,819,4572,849
,28/03/2021,48740784,0,3,1,0,28,81550,4999
,28/03/2021,73318567,0,423,33,0,1155,33941,1371
80.12222222,27/03/2021,85004,45,4389,2856,565,462,34523,3284
68,27/03/2021,4066298,304,3580,257,942,1377,3274,2417
121.0543972,27/03/2021,6676673,141,8164,429,637,755,18324,4015
283.9263158,27/03/2021,7061886,19,1655,183,97,118,4368,517
59.99,27/03/2021,31515569,328,23432,1395,3087,967,63138,7321
59.99,27/03/2021,32737302,20,2250,256,109,786,20029,950
134.5786667,27/03/2021,32939029,150,4247,437,570,685,3138,719
,27/03/2021,48740784,0,3,0,0,34,78822,4941
,27/03/2021,73318567,0,240,11,0,786,20029,950
81.79285714,26/03/2021,85004,42,2620,643,307,515,34558,3568
68,26/03/2021,4066298,355,4185,292,1156,1847,3888,3056
116.9984239,26/03/2021,6676673,184,9298,454,760,942,20524,4482
283.98,26/03/2021,7061886,20,1129,129,84,109,4414,541
60.08989985,26/03/2021,31515569,341,27386,1905,3474,1126,67254,7986
59.99,26/03/2021,32737302,32,3046,375,141,1016,27724,1224
134.6825,26/03/2021,32939029,120,4255,352,569,726,3631,753
,26/03/2021,48740784,0,5,0,0,46,81958,5585
,26/03/2021,73318567,0,302,16,2,1016,27724,1224
87.38275862,25/03/2021,85004,29,2674,891,263,479,34749,3556
68,25/03/2021,4066298,415,4677,327,1355,2252,4786,3615
113.9333091,25/03/2021,6676673,275,10637,538,1032,1113,21439,4760
284.49,25/03/2021,7061886,20,1457,143,93,115,5567,680
59.99,25/03/2021,31515569,396,33555,2805,4536,1275,75566,8437
59.99,25/03/2021,32737302,31,3897,434,218,1114,32342,1282
137,25/03/2021,32939029,98,2879,239,396,847,4388,881
,25/03/2021,48740784,0,0,0,0,45,86594,5908
,25/03/2021,73318567,0,350,26,0,1114,32342,1282
87.37741935,24/03/2021,85004,31,2428,462,264,517,32354,4056
68.06269373,24/03/2021,4066298,542,6074,454,1797,3313,7994,5173
115.021551,24/03/2021,6676673,245,10280,528,920,1095,18548,5057
284.7391304,24/03/2021,7061886,23,1414,171,90,93,6172,531
60.08855789,24/03/2021,31515569,538,50714,3349,8116,1406,77985,8825
59.99,24/03/2021,32737302,38,4180,523,255,1332,30399,1515
137.1437313,24/03/2021,32939029,67,2624,175,338,1280,5156,1327
,24/03/2021,48740784,0,3,0,0,36,93996,5993
59.99,24/03/2021,73318567,2,590,57,14,1332,30399,1515
88.22826087,23/03/2021,85004,46,2637,487,340,557,30957,3954
68.06102041,23/03/2021,4066298,539,7530,597,2162,2949,7398,4850
116.5917231,23/03/2021,6676673,325,13892,681,1225,1027,20997,4814
285,23/03/2021,7061886,20,1542,146,92,104,5815,550
60.12469064,23/03/2021,31515569,392,57131,3747,9625,1235,71434,7633
59.99,23/03/2021,32737302,44,5239,825,342,1402,39112,1572
135.262037,23/03/2021,32939029,108,4684,548,803,1384,6120,1423
,23/03/2021,48740784,0,2,0,0,42,94562,5763
59.99,23/03/2021,73318567,2,711,71,12,1402,39112,1572
85.72631579,22/03/2021,85004,38,2736,486,316,528,34528,3967
68.98728682,22/03/2021,4066298,387,4796,354,981,1753,4886,3314
127.8506358,22/03/2021,6676673,173,10390,569,752,950,21989,4935
285,22/03/2021,7061886,23,2249,290,131,115,10142,741
59.99,22/03/2021,31515569,297,26767,1707,2816,851,62515,6934
59.99,22/03/2021,32737302,24,3825,569,182,843,41079,996
140.6693671,22/03/2021,32939029,79,3518,457,374,816,4295,857
,22/03/2021,48740784,0,3,0,0,47,76951,5015
,22/03/2021,73318567,0,402,39,0,843,41079,996
81.47432432,21/03/2021,85004,74,3401,646,416,373,29992,3512
69.99,21/03/2021,4066298,359,4364,307,981,1352,4308,2834
121.13375,21/03/2021,6676673,216,9136,507,698,940,21791,4885
285,21/03/2021,7061886,21,3103,518,138,148,15230,972
59.99,21/03/2021,31515569,260,26006,1814,1972,829,73740,8184
59.99,21/03/2021,32737302,19,5075,842,231,853,52281,1044
143.3363636,21/03/2021,32939029,44,2439,317,266,735,4467,789
,21/03/2021,48740784,0,2,0,0,36,93902,5518
,21/03/2021,73318567,0,481,31,2,853,52281,1044
80.60847458,20/03/2021,85004,59,2380,412,330,333,25800,3072
69.99,20/03/2021,4066298,288,3736,219,906,1043,3577,2470
118.0913523,20/03/2021,6676673,281,11574,633,1015,943,20595,4691
285,20/03/2021,7061886,23,1858,175,107,115,6752,791
55.49358287,20/03/2021,31515569,369,27092,2284,2644,1094,60637,7119
59.99,20/03/2021,32737302,18,3029,352,142,707,35647,894
143.7695349,20/03/2021,32939029,43,2429,235,236,729,3935,769
,20/03/2021,48740784,0,4,0,0,27,85598,5668
59.99,20/03/2021,73318567,4,1325,136,18,707,35647,894
81.07678571,19/03/2021,85004,56,2297,409,285,341,28573,3229
69.81080808,19/03/2021,4066298,297,3928,223,909,1060,3423,2496
120.3327863,19/03/2021,6676673,262,10559,606,913,1016,19834,5235
285,19/03/2021,7061886,24,2200,276,92,123,8679,809
49.99,19/03/2021,31515569,1605,50807,3299,7439,4184,71285,11282
59.99,19/03/2021,32737302,48,2908,278,195,1908,34649,2096
137.4772656,19/03/2021,32939029,128,3595,345,475,872,4887,914
,19/03/2021,48740784,0,3,0,0,53,99809,6972
59.99,19/03/2021,73318567,3,1084,99,13,1908,34649,2096
81.0243662,18/03/2021,85004,71,2868,522,373,337,29151,3472
71.53470588,18/03/2021,4066298,255,4320,261,859,1161,4041,2771
121.6034082,18/03/2021,6676673,267,12745,747,1017,1079,20832,5756
285,18/03/2021,7061886,33,2085,238,116,154,8502,870
49.99,18/03/2021,31515569,1654,64099,3957,9691,3948,72503,11512
59.99,18/03/2021,32737302,40,2856,295,263,1187,21943,1392
142.8505319,18/03/2021,32939029,94,4212,493,548,904,5470,959
,18/03/2021,48740784,0,2,0,0,52,92882,7232
59.99,18/03/2021,73318567,1,1465,112,17,1187,21943,1392
79.009,17/03/2021,85004,80,2987,675,364,389,27717,3646
72.74327402,17/03/2021,4066298,281,4400,234,991,1503,4334,3316
119.185107,17/03/2021,6676673,374,18399,1147,1506,1209,24587,6177
285,17/03/2021,7061886,29,2281,285,127,130,10115,835
49.99,17/03/2021,31515569,497,26516,2064,2571,1150,76103,8730
59.99,17/03/2021,32737302,17,1456,193,85,436,16607,598
153.9340659,17/03/2021,32939029,91,4265,443,575,1077,5329,1126
,17/03/2021,48740784,0,1,0,0,48,87517,6016
59.99,17/03/2021,73318567,2,1365,135,22,436,16607,598
77.08395833,16/03/2021,85004,96,3075,508,385,519,27209,3858
73.71201439,16/03/2021,4066298,278,4306,237,815,1185,4521,2792
123.7226642,16/03/2021,6676673,274,13449,851,999,1259,26964,6206
285,16/03/2021,7061886,22,2098,214,113,149,8318,915
49.99,16/03/2021,31515569,484,25623,1736,2478,1170,76919,8928
59.99,16/03/2021,32737302,8,1354,152,79,453,15079,621
140.7965385,16/03/2021,32939029,182,7191,948,942,1109,5887,1163
,16/03/2021,48740784,0,5,0,0,41,84417,5756
59.99,16/03/2021,73318567,3,1030,76,16,453,15079,621
77.74491803,15/03/2021,85004,61,2559,438,329,581,30221,4264
